,HSN1F_M,HSN1F_M_PCT_CHG,HSN1F_Q_PCT_CHG,HSN1F_A_PCT_CHG,HSN1F_2A_PCT_CHG,HSN1F_3A_PCT_CHG
1971-08-01,659.0,-0.06657223796033995,0.020123839009287936,0.1684397163120568,0.6641414141414141,0.3153692614770458
1971-09-01,625.0,-0.0515933232169955,-0.11473087818696881,0.14678899082568808,0.5586034912718205,0.2450199203187251
1971-10-01,647.0,0.0351999999999999,-0.018209408194233667,0.1350877192982456,0.4671201814058956,0.3795309168443497
1971-11-01,710.0,0.09737248840803714,0.1359999999999999,0.21993127147766334,0.5707964601769913,0.3894324853228963
1971-12-01,689.0,-0.029577464788732355,0.06491499227202469,0.11488673139158578,0.4945770065075923,0.43541666666666656
1972-01-01,698.0,0.013062409288824295,-0.016901408450704203,0.12944983818770228,0.8713136729222519,0.33206106870229
1972-02-01,711.0,0.018624641833810962,0.03193033381712618,0.044052863436123246,0.8277634961439588,0.5
1972-03-01,640.0,-0.09985935302391002,-0.08309455587392545,-0.033232628398791486,0.4382022471910112,0.4222222222222223
1972-04-01,684.0,0.06875000000000009,-0.03797468354430378,0.10679611650485432,0.46781115879828317,0.5302013422818792
1972-05-01,677.0,-0.010233918128654929,0.057812500000000044,0.04798761609907132,0.39587628865979374,0.4685466377440346
1972-06-01,687.0,0.01477104874446078,0.004385964912280604,-0.026912181303116123,0.4282744282744282,0.5756880733944953
1972-07-01,681.0,-0.008733624454148492,0.005908419497784312,0.03338391502276172,0.3223300970873786,0.613744075829384
1972-08-01,773.0,0.1350954478707782,0.12518195050946135,0.2367999999999999,0.3705673758865249,0.952020202020202
1972-09-01,767.0,-0.0077619663648124115,0.1262848751835537,0.1854714064914993,0.4073394495412843,0.912718204488778
1972-10-01,843.0,0.09908735332464147,0.09055627425614499,0.1873239436619718,0.47894736842105257,0.91156462585034
1972-11-01,735.0,-0.12811387900355875,-0.041720990873533204,0.06676342525399126,0.2628865979381443,0.6261061946902655
1972-12-01,772.0,0.05034013605442178,-0.08422301304863578,0.10601719197707737,0.2491909385113269,0.6746203904555315
1973-01-01,781.0,0.011658031088082943,0.06258503401360538,0.09845288326300983,0.2637540453074434,1.0938337801608577
1973-02-01,737.0,-0.05633802816901412,-0.04533678756476689,0.15156250000000004,0.08223201174743022,0.8946015424164524
1973-03-01,725.0,-0.016282225237449155,-0.07170294494238161,0.059941520467836185,0.095166163141994,0.6292134831460674
1973-04-01,661.0,-0.08827586206896554,-0.10312075983717772,-0.02363367799113736,0.06957928802588986,0.4184549356223175
1973-05-01,660.0,-0.001512859304084735,-0.08965517241379306,-0.0393013100436681,0.021671826625387025,0.3608247422680413
1973-06-01,650.0,-0.015151515151515138,-0.016641452344931973,-0.04552129221732748,-0.07932011331444755,0.3513513513513513
1973-07-01,601.0,-0.07538461538461538,-0.08939393939393936,-0.22250970245795598,-0.08801213960546284,0.16699029126213594
1973-08-01,566.0,-0.05823627287853572,-0.12923076923076926,-0.26205997392438074,-0.09440000000000004,0.0035460992907800915
1973-09-01,561.0,-0.00883392226148405,-0.06655574043261236,-0.3345195729537367,-0.13292117465224107,0.029357798165137616
1973-10-01,565.0,0.007130124777183555,-0.0017667844522968323,-0.23129251700680276,-0.204225352112676,-0.00877192982456143
1973-11-01,547.0,-0.031858407079646045,-0.024955436720142554,-0.2914507772020726,-0.20609579100145137,-0.06013745704467355
1973-12-01,519.0,-0.051188299817184646,-0.0814159292035398,-0.33546734955185664,-0.2564469914040115,-0.1601941747572816
1974-01-01,523.0,0.007707129094412402,-0.04387568555758681,-0.2903663500678426,-0.26441631504922647,-0.15372168284789645
1974-02-01,539.0,0.030592734225621365,0.038535645472061564,-0.25655172413793104,-0.15781250000000002,-0.2085168869309838
1974-03-01,572.0,0.061224489795918435,0.09369024856596564,-0.13464447806354007,-0.16374269005847952,-0.13595166163141992
1974-04-01,544.0,-0.04895104895104896,0.00927643784786647,-0.17575757575757578,-0.19645494830132937,-0.11974110032362462
1974-05-01,590.0,0.08455882352941169,0.03146853146853146,-0.09230769230769231,-0.141193595342067,-0.08668730650154799
1974-06-01,534.0,-0.09491525423728808,-0.018382352941176516,-0.11148086522462564,-0.21585903083700442,-0.24362606232294615
1974-07-01,534.0,0.0,-0.09491525423728808,-0.05653710247349819,-0.3091849935316947,-0.18968133535660092
1974-08-01,492.0,-0.0786516853932584,-0.0786516853932584,-0.12299465240641716,-0.35853976531942633,-0.2128
1974-09-01,511.0,0.03861788617886175,-0.04307116104868913,-0.09557522123893802,-0.3938315539739027,-0.21020092735703244
1974-10-01,448.0,-0.12328767123287676,-0.08943089430894313,-0.18098720292504566,-0.3904761904761904,-0.3690140845070422
1974-11-01,450.0,0.0044642857142858094,-0.11937377690802353,-0.1329479768786127,-0.41709844559585496,-0.3468795355587808
1974-12-01,417.0,-0.07333333333333336,-0.0691964285714286,-0.20267686424474185,-0.4660691421254801,-0.40257879656160456
1975-01-01,416.0,-0.0023980815347721673,-0.0755555555555556,-0.2282003710575139,-0.4355495251017639,-0.4149085794655415
1975-02-01,422.0,0.014423076923076872,0.011990407673860837,-0.2622377622377622,-0.4179310344827586,-0.34062499999999996
1975-03-01,477.0,0.13033175355450233,0.14663461538461542,-0.12316176470588236,-0.27836611195158856,-0.3026315789473685
1975-04-01,543.0,0.1383647798742138,0.2867298578199051,-0.07966101694915251,-0.17727272727272725,-0.19793205317577545
1975-05-01,579.0,0.06629834254143652,0.21383647798742134,0.08426966292134841,-0.10923076923076924,-0.15720524017467252
1975-06-01,557.0,-0.03799654576856648,0.025782688766114115,0.04307116104868913,-0.07321131447587359,-0.1820851688693098
1975-07-01,569.0,0.021543985637342944,-0.01727115716753025,0.1565040650406504,0.005300353356890497,-0.2639068564036222
1975-08-01,566.0,-0.005272407732864637,0.016157989228007263,0.10763209393346385,0.00891265597147961,-0.26205997392438074
1975-09-01,556.0,-0.017667844522968212,-0.02284710017574687,0.2410714285714286,-0.015929203539822967,-0.3404507710557533
1975-10-01,609.0,0.09532374100719432,0.07597173144876335,0.3533333333333333,0.11334552102376594,-0.17142857142857137
1975-11-01,680.0,0.1165845648604269,0.2230215827338129,0.630695443645084,0.3102119460500963,-0.11917098445595853
1975-12-01,669.0,-0.016176470588235348,0.09852216748768483,0.6081730769230769,0.2791586998087954,-0.1434058898847631
1976-01-01,603.0,-0.09865470852017932,-0.1132352941176471,0.4289099526066351,0.11873840445269024,-0.18181818181818177
1976-02-01,644.0,0.06799336650082921,-0.03736920777279518,0.350104821802935,0.12587412587412583,-0.11172413793103453
1976-03-01,591.0,-0.08229813664596275,-0.01990049751243783,0.08839779005524862,0.08639705882352944,-0.10590015128593044
1976-04-01,611.0,0.03384094754653133,-0.05124223602484468,0.05526770293609662,0.035593220338983045,-0.07424242424242422
1976-05-01,570.0,-0.06710310965630117,-0.035532994923857864,0.02333931777378817,0.0674157303370786,-0.12307692307692308
1976-06-01,591.0,0.03684210526315779,-0.032733224222585955,0.03866432337434089,0.10674157303370779,-0.016638935108153063
1976-07-01,664.0,0.12351945854483914,0.16491228070175445,0.17314487632508824,0.34959349593495936,0.17314487632508824
1976-08-01,648.0,-0.02409638554216864,0.09644670050761417,0.16546762589928066,0.2681017612524461,0.15508021390374327
1976-09-01,696.0,0.07407407407407418,0.04819277108433728,0.1428571428571428,0.5535714285714286,0.2318584070796461
1976-10-01,708.0,0.01724137931034475,0.09259259259259256,0.04117647058823537,0.5733333333333333,0.2943327239488116
1976-11-01,735.0,0.03813559322033888,0.056034482758620774,0.09865470852017943,0.7625899280575539,0.4161849710982659
